
R B3 U'3 B' XL B U3 B'3 R' XL -- ; UF rotates 90; DB rotates -90; 
R B3 D'3 B3 XL B'3 D3 B'3 R' XL -- ; BD rotates 90; FU rotates -90; 
R B3 D'3 B' XL B D3 B'3 R' XL -- ; BD rotates 90; FU rotates -90; 
R B' R'3 D3 XL D'3 R3 B R' XL -- ; DB rotates 90; UF rotates -90; 
R B' R'3 D' XL D R3 B R' XL -- ; DB rotates 90; UF rotates -90; 
R B' R'3 B3 XL B'3 R3 B R' XL -- ; FU rotates 90; BD rotates -90; 
R B' R'3 B' XL B R3 B R' XL -- ; FU rotates 90; BD rotates -90; 
R B' L'3 U3 XL U'3 L3 B R' XL -- ; FU rotates 90; BD rotates -90; 
R B' L'3 U' XL U L3 B R' XL -- ; FU rotates 90; BD rotates -90; 
R B' L'3 B3 XL B'3 L3 B R' XL -- ; DB rotates 90; UF rotates -90; 
R B' L'3 B' XL B L3 B R' XL -- ; DB rotates 90; UF rotates -90; 
R B' U'3 B3 XL B'3 U3 B R' XL -- ; UF rotates 90; DB rotates -90; 
R B' U'3 B' XL B U3 B R' XL -- ; UF rotates 90; DB rotates -90; 
R B' D'3 B3 XL B'3 D3 B R' XL -- ; BD rotates 90; FU rotates -90; 
R B' D'3 B' XL B D3 B R' XL -- ; BD rotates 90; FU rotates -90; 
R B'3 R3 U XL U' R'3 B3 R' XL -- ; BD rotates 90; FU rotates -90; 
R B'3 R3 U'3 XL U3 R'3 B3 R' XL -- ; BD rotates 90; FU rotates -90; 
R B'3 R3 B XL B' R'3 B3 R' XL -- ; UF rotates 90; DB rotates -90; 
R B'3 R3 B'3 XL B3 R'3 B3 R' XL -- ; UF rotates 90; DB rotates -90; 
R B'3 L3 D XL D' L'3 B3 R' XL -- ; UF rotates 90; DB rotates -90; 
R B'3 L3 D'3 XL D3 L'3 B3 R' XL -- ; UF rotates 90; DB rotates -90; 
R B'3 L3 B XL B' L'3 B3 R' XL -- ; BD rotates 90; FU rotates -90; 
R B'3 L3 B'3 XL B3 L'3 B3 R' XL -- ; BD rotates 90; FU rotates -90; 
R B'3 U3 B XL B' U'3 B3 R' XL -- ; DB rotates 90; UF rotates -90; 
R B'3 U3 B'3 XL B3 U'3 B3 R' XL -- ; DB rotates 90; UF rotates -90; 
R B'3 D3 B XL B' D'3 B3 R' XL -- ; FU rotates 90; BD rotates -90; 
R B'3 D3 B'3 XL B3 D'3 B3 R' XL -- ; FU rotates 90; BD rotates -90; 
R3 U R3 U XL U' R'3 U' R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U R3 U'3 XL U3 R'3 U' R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U R3 F XL F' R'3 U' R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U R3 F'3 XL F3 R'3 U' R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U L3 U XL U' L'3 U' R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U L3 U'3 XL U3 L'3 U' R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U L3 B XL B' L'3 U' R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U L3 B'3 XL B3 L'3 U' R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U F3 U XL U' F'3 U' R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U F3 U'3 XL U3 F'3 U' R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U B3 U XL U' B'3 U' R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U B3 U'3 XL U3 B'3 U' R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U3 R'3 U3 XL U'3 R3 U'3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U3 R'3 U' XL U R3 U'3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U3 R'3 B3 XL B'3 R3 U'3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U3 R'3 B' XL B R3 U'3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U3 L'3 U3 XL U'3 L3 U'3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U3 L'3 U' XL U L3 U'3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U3 L'3 F3 XL F'3 L3 U'3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U3 L'3 F' XL F L3 U'3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U3 F'3 U3 XL U'3 F3 U'3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U3 F'3 U' XL U F3 U'3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U3 B'3 U3 XL U'3 B3 U'3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U3 B'3 U' XL U B3 U'3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U' R'3 U3 XL U'3 R3 U R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U' R'3 U' XL U R3 U R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U' R'3 B3 XL B'3 R3 U R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U' R'3 B' XL B R3 U R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U' L'3 U3 XL U'3 L3 U R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U' L'3 U' XL U L3 U R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U' L'3 F3 XL F'3 L3 U R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U' L'3 F' XL F L3 U R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U' F'3 U3 XL U'3 F3 U R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U' F'3 U' XL U F3 U R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U' B'3 U3 XL U'3 B3 U R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U' B'3 U' XL U B3 U R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U'3 R3 U XL U' R'3 U3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U'3 R3 U'3 XL U3 R'3 U3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U'3 R3 F XL F' R'3 U3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U'3 R3 F'3 XL F3 R'3 U3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U'3 L3 U XL U' L'3 U3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U'3 L3 U'3 XL U3 L'3 U3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 U'3 L3 B XL B' L'3 U3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U'3 L3 B'3 XL B3 L'3 U3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 U'3 F3 U XL U' F'3 U3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U'3 F3 U'3 XL U3 F'3 U3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 U'3 B3 U XL U' B'3 U3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 U'3 B3 U'3 XL U3 B'3 U3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D R3 D XL D' R'3 D' R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D R3 D'3 XL D3 R'3 D' R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D R3 B XL B' R'3 D' R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D R3 B'3 XL B3 R'3 D' R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D L3 D XL D' L'3 D' R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D L3 D'3 XL D3 L'3 D' R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D L3 F XL F' L'3 D' R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D L3 F'3 XL F3 L'3 D' R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D F3 D XL D' F'3 D' R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D F3 D'3 XL D3 F'3 D' R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D B3 D XL D' B'3 D' R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D B3 D'3 XL D3 B'3 D' R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D3 R'3 D3 XL D'3 R3 D'3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D3 R'3 D' XL D R3 D'3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D3 R'3 F3 XL F'3 R3 D'3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D3 R'3 F' XL F R3 D'3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D3 L'3 D3 XL D'3 L3 D'3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D3 L'3 D' XL D L3 D'3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D3 L'3 B3 XL B'3 L3 D'3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D3 L'3 B' XL B L3 D'3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D3 F'3 D3 XL D'3 F3 D'3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D3 F'3 D' XL D F3 D'3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D3 B'3 D3 XL D'3 B3 D'3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D3 B'3 D' XL D B3 D'3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D' R'3 D3 XL D'3 R3 D R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D' R'3 D' XL D R3 D R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D' R'3 F3 XL F'3 R3 D R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D' R'3 F' XL F R3 D R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D' L'3 D3 XL D'3 L3 D R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D' L'3 D' XL D L3 D R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D' L'3 B3 XL B'3 L3 D R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D' L'3 B' XL B L3 D R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D' F'3 D3 XL D'3 F3 D R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D' F'3 D' XL D F3 D R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D' B'3 D3 XL D'3 B3 D R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D' B'3 D' XL D B3 D R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D'3 R3 D XL D' R'3 D3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D'3 R3 D'3 XL D3 R'3 D3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D'3 R3 B XL B' R'3 D3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D'3 R3 B'3 XL B3 R'3 D3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D'3 L3 D XL D' L'3 D3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D'3 L3 D'3 XL D3 L'3 D3 R'3 XL -- ; BD rotates 90; FU rotates -90; 
R3 D'3 L3 F XL F' L'3 D3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D'3 L3 F'3 XL F3 L'3 D3 R'3 XL -- ; UF rotates 90; DB rotates -90; 
R3 D'3 F3 D XL D' F'3 D3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D'3 F3 D'3 XL D3 F'3 D3 R'3 XL -- ; FU rotates 90; BD rotates -90; 
R3 D'3 B3 D XL D' B'3 D3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 D'3 B3 D'3 XL D3 B'3 D3 R'3 XL -- ; DB rotates 90; UF rotates -90; 
R3 F R3 D XL D' R'3 F' R'3 XL -- ; DF rotates 90; UB rotates -90; 
R3 F R3 D'3 XL D3 R'3 F' R'3 XL -- ; DF rotates 90; UB rotates -90; 
R3 F R3 F XL F' R'3 F' R'3 XL -- ; BU rotates 90; FD rotates -90; 
R3 F R3 F'3 XL F3 R'3 F' R'3 XL -- ; BU rotates 90; FD rotates -90; 
R3 F L3 U XL U' L'3 F' R'3 XL -- ; BU rotates 90; FD rotates -90; 
R3 F L3 U'3 XL U3 L'3 F' R'3 XL -- ; BU rotates 90; FD rotates -90; 
R3 F L3 F XL F' L'3 F' R'3 XL -- ; DF rotates 90; UB rotates -90; 
